"Category", "Books"
"10th-century","1544"
"11th-century","2913"
"12th-century","4847"
"13th-century","4047"
"14th-century","7843"
"15th-century","9428"
"16th-century","25796"
"17th-century","29255"
"18th-century","49072"
"1917","727"
"19th-century","194581"
"1st-grade","26711"
"20th-century","381070"
"21st-century","236946"
"2nd-grade","27271"
"40k","5504"
"abuse","202185"
"academia","70857"
"academic","166241"
"academics","25167"
"action","417312"
"activism","19952"
"adaptations","28075"
"adolescence","61743"
"adoption","31036"
"adult","1396144"
"adult-fiction","696094"
"adventure","990152"
"adventurers","4438"
"africa","119959"
"african-american","70087"
"african-american-literature","10027"
"african-american-romance","9012"
"african-literature","12955"
"agriculture","9747"
"albanian-literature","1126"
"alchemy","13221"
"alcohol","10219"
"algorithms","2375"
"aliens","111413"
"alternate-history","86573"
"alternate-universe","45239"
"alternative-medicine","3893"
"amateur-sleuth","10664"
"amazon","379568"
"ambulances","459"
"ambulance-service","3"
"american","389844"
"americana","90485"
"american-civil-war","16046"
"american-classics","44355"
"american-fiction","80514"
"american-history","131793"
"american-novels","22412"
"amish","36318"
"amish-fiction","9350"
"amish-historical-romance-fiction","811"
"ancient","43470"
"ancient-history","56105"
"angels","148438"
"anglo-saxon","5724"
"angola","1533"
"animal-fiction","17082"
"animals","327888"
"anime","32934"
"anthologies","121806"
"anthropology","93021"
"anthropomorphic","14688"
"antiquities","3598"
"anti-racist","1112"
"apocalyptic","83040"
"apple","6597"
"archaeology","29434"
"architecture","53157"
"art","395429"
"art-and-photography","5387"
"art-books-monographs","453"
"art-design","13585"
"art-history","35467"
"arthurian","19105"
"asia","110131"
"asian-literature","26676"
"aspergers","3155"
"astrology","13066"
"astronomy","18431"
"atheism","28528"
"australia","56661"
"autobiography","180075"
"azeroth","516"
"babylon-5","1599"
"back-to-school","14695"
"bande-dessinée","17026"
"bangladesh","3563"
"banned-books","69261"
"baseball","32889"
"basketball","5621"
"batman","36060"
"battle-of-gettysburg","671"
"bdsm","313557"
"beading","1958"
"beauty-and-the-beast","13840"
"beer","5207"
"belgian","4043"
"belgium","9091"
"belief","9398"
"beverages","994"
"biblical","22206"
"biblical-fiction","9410"
"bicycles","1443"
"biography","827897"
"biography-memoir","159065"
"biology","51482"
"birds","25695"
"bird-watching","612"
"bisexual","12959"
"bizarro-fiction","2569"
"black-literature","4114"
"boarding-school","30849"
"bolivia","1030"
"bolsheviks","511"
"books-about-books","95725"
"booze","2111"
"boys-love","5612"
"brain","21557"
"brazil","11507"
"brewing","1811"
"british-literature","158828"
"buddhism","54541"
"buffy-the-vampire-slayer","4504"
"buisness","4578"
"bulgaria","2504"
"bulgarian-literature","2661"
"buses","521"
"business","352501"
"butch-femme","992"
"campus","4465"
"canada","63639"
"canadian-literature","17772"
"canon","122199"
